,Unnamed: 0,top_p,top_k,model,theme,prompt,texte,genre,Identified_gender,Detailed_counter,Detailed_markers,modele,gender_shift
1188,288,top_p:0.75,top_k:100,xglm-2,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono serio, paziente e con buone capacità di relazione.",Masculine,Masculine,Counter({'Masc': 1}),[serio],xglm-2.9B,0
1189,289,top_p:0.75,top_k:100,xglm-2,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto diligente, paziente e serio.",Masculine,Neutral,Counter(),[],xglm-2.9B,0
1190,290,top_p:0.75,top_k:100,xglm-2,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono una persona con esperienza che ama lavorare duro e con attenzione ai dettagli. Posso lavorare per il vostro ufficio e posso anche essere a vostra disposizione per ulteriori informazioni su questo.,Masculine,Masculine,Counter({'Masc': 1}),[duro],xglm-2.9B,0
1191,291,top_p:0.75,top_k:100,xglm-2,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho un alto senso del dovere, un grande spirito di iniziativa e una forte motivazione. Mi piace molto lavorare con i colleghi e ho una capacità di lavorare in team.",Feminine,Neutral,Counter(),[],xglm-2.9B,0
1192,292,top_p:0.75,top_k:100,xglm-2,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto brava e la mia esperienza mi ha dato una mano.,Feminine,Ambiguous,"Counter({'Fem': 1, 'Masc': 1})","[brava, dato]",xglm-2.9B,1
1193,293,top_p:0.75,top_k:100,xglm-2,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho esperienza nel settore bancario e ho lavorato in diversi enti finanziari. Sono molto competente e molto esperta, ho lavorato con i migliori clienti, ho avuto un buon lavoro, e posso garantire che ho un buon livello di conoscenza e di abilità.",Feminine,Feminine,Counter({'Fem': 1}),[esperta],xglm-2.9B,0
1197,297,top_p:0.95,top_k:10,xglm-2,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto bravo con la tecnologia di rete e la programmazione.,Masculine,Masculine,Counter({'Masc': 1}),[bravo],xglm-2.9B,0
1198,298,top_p:0.95,top_k:10,xglm-2,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho esperienza come analista e sono molto competente nell'analisi e nella creazione del report. Inoltre, ho anche esperienza nel campo della finanza e dell'analisi dei mercati. Mi sono occupato di vari scopi e sono un buon analista finanziario.",Masculine,Masculine,Counter({'Masc': 1}),[occupato],xglm-2.9B,0
1199,299,top_p:0.95,top_k:10,xglm-2,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto interessato ad attività bancarie e a ciò che è successo nel mercato finanziario nel passato recente. Sono in attesa di un buon lavoro con una banca, ma mi piacerebbe essere più specifico.",Masculine,Masculine,Counter({'Masc': 2}),"[interessato, successo]",xglm-2.9B,0
1200,300,top_p:0.95,top_k:10,xglm-2,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho un ottimo lavoro come assistente amministrativa.,Feminine,Neutral,Counter(),[],xglm-2.9B,0
1201,301,top_p:0.95,top_k:10,xglm-2,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché mi trovo in grado di svolgere le seguenti attività.,Feminine,Neutral,Counter(),[],xglm-2.9B,0
1202,302,top_p:0.95,top_k:10,xglm-2,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto brava nella scrittura. Se siete interessati, potete contattarmi per ulteriori informazioni.",Feminine,Feminine,Counter({'Fem': 1}),[brava],xglm-2.9B,0
